"Title","Subtitle","Author","Author (Last","Publisher","Date Published","Year Published","Summary","Number of Pages","ISBN","EAN","書封","分類"
"大陸偵探社","","漢密特,Dashiell Hammett","漢密特,Dashiell Hammett","臉譜出版","","1998","","316","9789577086990","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=99CSI1042y%409789577086990-%E5%A4%A7%E9%99%B8%E5%81%B5%E6%8E%A2%E7%A4%BE.jpg",""
"碧眼少女","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","265","9789574500369","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=k9rznPpI2G%409789574500369-%E7%A2%A7%E7%9C%BC%E5%B0%91%E5%A5%B3.jpg",""
"綠寶石之謎","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2003","","189","9789574501793","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=N1VnZhTPh3%409789574501793-%E7%B6%A0%E5%AF%B6%E7%9F%B3%E4%B9%8B%E8%AC%8E.jpg",""
"神探與羅蘋","Victor de la brigade mondaine","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2003","","269","9789574502356","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=PGWzAp73Aq%409789574502356-%E7%A5%9E%E6%8E%A2%E8%88%87%E7%BE%85%E8%98%8B.jpg",""
"幽靈殺手","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2003","","269","9789574501960","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Rn1Ep92wHb%409789574501960-%E5%B9%BD%E9%9D%88%E6%AE%BA%E6%89%8B.jpg",""
"金三角","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","319","9789574500116","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=6PQKm2MSP0%409789574500116-%E9%87%91%E4%B8%89%E8%A7%92.jpg",""
"虎牙","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","383","9789570405972","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=620ApFZP85%409789570405972-%E8%99%8E%E7%89%99.jpg",""
"怪盜與名偵探","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","271","9789570405750","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=5BKcxJmy9P%409789570405750-%E6%80%AA%E7%9B%9C%E8%88%87%E5%90%8D%E5%81%B5%E6%8E%A2.jpg",""
"奇巖城","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","287","9789570405712","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=3MCAhJA8pE%409789570405712-%E5%A5%87%E5%B7%96%E5%9F%8E.jpg",""
"奇怪的屋子","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","","9789574500413","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=X86ES9D8j3%409789574500413-%E5%A5%87%E6%80%AA%E7%9A%84%E5%B1%8B%E5%AD%90.jpg",""
"棺材島","L'île aux trente cercueils","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","303","9789570405910","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=6x0QvH7T3D%409789570405910-%E6%A3%BA%E6%9D%90%E5%B3%B6.jpg",""
"紳士怪盜","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2003","","240","9789570405736","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=2QQB0faL0o%409789570405736-%E7%B4%B3%E5%A3%AB%E6%80%AA%E7%9B%9C.jpg",""
"813之謎","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","462","9789570405767","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=xt3rb2RTK7%409789570405767-813%E4%B9%8B%E8%AC%8E.jpg",""
"八大奇案","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","","9789574500161","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Ui101W4H3k%409789574500161-%E5%85%AB%E5%A4%A7%E5%A5%87%E6%A1%88.jpg",""
"古堡驚魂","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","","9789574502011","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=FfYbbtNssO%409789574502011-%E5%8F%A4%E5%A0%A1%E9%A9%9A%E9%AD%82.jpg",""
"名偵探羅蘋","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2002","","223","9789574500123","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=NaE7qxhIZn%409789574500123-%E5%90%8D%E5%81%B5%E6%8E%A2%E7%BE%85%E8%98%8B.jpg",""
"魔女的復仇","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2003","","285","9789574502035","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=98J7NdkSJe%409789574502035-%E9%AD%94%E5%A5%B3%E7%9A%84%E5%BE%A9%E4%BB%87.jpg",""
"神秘黑衣人","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","","9789570405934","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=W2f569Xl6h%409789570405934-%E7%A5%9E%E7%A7%98%E9%BB%91%E8%A1%A3%E4%BA%BA.jpg",""
"魔女與羅蘋","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","","9789574500147","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=WAiI994aFV%409789574500147-%E9%AD%94%E5%A5%B3%E8%88%87%E7%BE%85%E8%98%8B.jpg",""
"亞森羅蘋的財富","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2004","","206","9789574502721","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=tyD3F51157%409789574502721-%E4%BA%9E%E6%A3%AE%E7%BE%85%E8%98%8B%E7%9A%84%E8%B2%A1%E5%AF%8C.jpg",""
"亞森羅蘋的秘密","","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","252","9789570405927","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=tzOxtC4wPP%409789570405927-%E4%BA%9E%E6%A3%AE%E7%BE%85%E8%98%8B%E7%9A%84%E7%A7%98%E5%AF%86.jpg",""
"水晶瓶塞的秘密","Le bouchon de cristal","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2001","","197","9789570405873","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=6UTv3n141E%409789570405873-%E6%B0%B4%E6%99%B6%E7%93%B6%E5%A1%9E%E7%9A%84%E7%A7%98%E5%AF%86.jpg",""
"女偵探之謎","Dorothee danseuse de corde","莫里士·盧布朗 Maurice Leblanc","Leblanc, Maurice","小知堂文化","","2003","","317","9789574502615","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=WOCr25SYV2%409789574502615-%E5%A5%B3%E5%81%B5%E6%8E%A2%E4%B9%8B%E8%AC%8E.jpg",""
"羅傑・亞克洛伊命案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","284","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=3681FA0un6%4050-%E7%BE%85%E5%82%91%E4%BA%9E%E5%85%8B%E6%B4%9B%E4%BC%8A%E5%91%BD%E6%A1%88.jpg","阿嘉莎系列"
"沉默的證人","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","366","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=T21X71q9Sh%4049-%E6%B2%89%E9%BB%98%E7%9A%84%E8%AD%89%E4%BA%BA.jpg","阿嘉莎系列"
"藍色列車","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","324","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=25Rj8P1HqU%4048-%E8%97%8D%E8%89%B2%E5%88%97%E8%BB%8A.jpg","阿嘉莎系列"
"無妄之災","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","297","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=4Bziz0P2n1%4047-%E7%84%A1%E5%A6%84%E4%B9%8B%E7%81%BD.jpg","阿嘉莎系列"
"天涯過客","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","223","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=u5ZiZzce3M%4046-%E5%A4%A9%E6%B6%AF%E9%81%8E%E5%AE%A2.jpg","阿嘉莎系列"
"美索不達米亞謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","298","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=pNlUZA36gw%4045-%E7%BE%8E%E7%B4%A2%E4%B8%8D%E9%81%94%E7%B1%B3%E4%BA%9E%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"命案目睹記","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","308","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=083cDLtZo7%4044-%E5%91%BD%E6%A1%88%E7%9B%AE%E7%9D%B9%E8%A8%98.jpg","阿嘉莎系列"
"煙囪的祕密","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","356","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=yr5evPgqW7%4043-%E7%85%99%E5%9B%AA%E7%9A%84%E7%A5%95%E5%AF%86.jpg","阿嘉莎系列"
"命運之門","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","301","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=UWzwZB21aC%4042-%E5%91%BD%E9%81%8B%E4%B9%8B%E9%96%80.jpg","阿嘉莎系列"
"假戲成真","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","244","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=vDt8s327L4%4041-%E5%81%87%E6%88%B2%E6%88%90%E7%9C%9F.jpg","阿嘉莎系列"
"國際學舍謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","270","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=f9u1oVI8O1%4040-%E5%9C%8B%E9%9A%9B%E5%AD%B8%E8%88%8D%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"柏翠門旅館之秘","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","248","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=ZMtcfq5zQL%4039-%E6%9F%8F%E7%BF%A0%E9%96%80%E6%97%85%E9%A4%A8%E4%B9%8B%E7%A7%98.jpg","阿嘉莎系列"
"清潔婦命案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","267","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Ksy2ZTw1xZ%4038-%E6%B8%85%E6%BD%94%E5%A9%A6%E5%91%BD%E6%A1%88.jpg","阿嘉莎系列"
"黑麥奇案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","251","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=0MK78XfNxx%4037-%E9%BB%91%E9%BA%A5%E5%A5%87%E6%A1%88.jpg","阿嘉莎系列"
"空幻之屋","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","317","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Q7h5n6oD11%4036-%E7%A9%BA%E5%B9%BB%E4%B9%8B%E5%B1%8B.jpg","阿嘉莎系列"
"漲潮時節","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","284","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=66aWI9Nogh%4035-%E6%BC%B2%E6%BD%AE%E6%99%82%E7%AF%80.jpg","阿嘉莎系列"
"拇指一豎","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","268","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=s58r52bO0J%4034-%E6%8B%87%E6%8C%87%E4%B8%80%E8%B1%8E.jpg","阿嘉莎系列"
"復仇女神","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","259","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=u6RYHYP1W0%4033-%E5%BE%A9%E4%BB%87%E5%A5%B3%E7%A5%9E.jpg","阿嘉莎系列"
"古屋疑雲","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","256","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=5118nSM78X%4032-%E5%8F%A4%E5%B1%8B%E7%96%91%E9%9B%B2.jpg","阿嘉莎系列"
"底牌","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","249","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=j8K970v9T2%4031-%E5%BA%95%E7%89%8C.jpg","阿嘉莎系列"
"年輕冒險家","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","316","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=zX12FvZ53j%4030-%E5%B9%B4%E8%BC%95%E5%86%92%E9%9A%AA%E5%AE%B6.jpg","阿嘉莎系列"
"七鐘面之謎","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","317","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=OWk67I4951%4029-%E4%B8%83%E9%90%98%E9%9D%A2%E4%B9%8B%E8%AC%8E.jpg","阿嘉莎系列"
"啤酒謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","270","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Mfe0y2Xa36%4027-%E5%95%A4%E9%85%92%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"破鏡謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","270","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=3364o98R70%4027-%E7%A0%B4%E9%8F%A1%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"死亡終局","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","274","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=XxbDGzQLna%4026-%E6%AD%BB%E4%BA%A1%E7%B5%82%E5%B1%80.jpg","阿嘉莎系列"
"殺人不難","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","227","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=ewqPcc7p16%4025-%E6%AE%BA%E4%BA%BA%E4%B8%8D%E9%9B%A3.jpg","阿嘉莎系列"
"四大魔頭","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","247","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=i8PFN23939%4024-%E5%9B%9B%E5%A4%A7%E9%AD%94%E9%A0%AD.jpg","阿嘉莎系列"
"畸形屋","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","253","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=K0I0JxmNx2%4023-%E7%95%B8%E5%BD%A2%E5%B1%8B.jpg","阿嘉莎系列"
"零時","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","279","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=9Wi9uHKxnn%4022-%E9%9B%B6%E6%99%82.jpg","阿嘉莎系列"
"死灰復燃","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","266","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=eBIClL6X1z%4021-%E6%AD%BB%E7%81%B0%E5%BE%A9%E7%87%83.jpg","阿嘉莎系列"
"艷陽下的謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","227","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=zzEJY7tq2o%4020-%E8%89%B7%E9%99%BD%E4%B8%8B%E7%9A%84%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"尼羅河謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","363","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=8566J0YXC3%4019-%E5%B0%BC%E7%BE%85%E6%B2%B3%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"高爾夫球場命案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","253","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=5vgZ3FwLJg%4018-%E9%AB%98%E7%88%BE%E5%A4%AB%E7%90%83%E5%A0%B4%E5%91%BD%E6%A1%88.jpg","阿嘉莎系列"
"鴿羣裏的貓","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","292","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Do2o7cGhsC%4017-%E9%B4%BF%E7%BE%A3%E8%A3%8F%E7%9A%84%E7%8C%AB.jpg","阿嘉莎系列"
"萬靈節之死","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","287","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=hPIM7689q9%4016-%E8%90%AC%E9%9D%88%E7%AF%80%E4%B9%8B%E6%AD%BB.jpg","阿嘉莎系列"
"褐衣男子","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","308","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=iLvB6ae9Bj%4015-%E8%A4%90%E8%A1%A3%E7%94%B7%E5%AD%90.jpg","阿嘉莎系列"
"白馬酒店","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","267","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=M05r0TgIiE%4014-%E7%99%BD%E9%A6%AC%E9%85%92%E5%BA%97.png","阿嘉莎系列"
"葬禮之後","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","294","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Ihg7B5lDQ1%4013-%E8%91%AC%E7%A6%AE%E4%B9%8B%E5%BE%8C.jpg","阿嘉莎系列"
"死亡約會","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","253","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=OZ69W9R6r9%4012-%E6%AD%BB%E4%BA%A1%E7%B4%84%E6%9C%83.jpg","阿嘉莎系列"
"謀殺啓事","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","322","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=H1v9BqHQpT%4011-%E8%AC%80%E6%AE%BA%E5%95%93%E4%BA%8B.jpg","阿嘉莎系列"
"鐘","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","324","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=fe4VYUhI2j%4010-%E9%90%98.jpg","阿嘉莎系列"
"不祥的宴會","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","316","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=op6hHl5C13%4009-%E4%B8%8D%E7%A5%A5%E7%9A%84%E5%AE%B4%E6%9C%83.jpg","阿嘉莎系列"
"此夜綿綿","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","258","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=c1nPrqvaPE%4008-%E6%AD%A4%E5%A4%9C%E7%B6%BF%E7%B6%BF.jpg","阿嘉莎系列"
"諜海","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","266","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=SFov45e52S%4007-%E8%AB%9C%E6%B5%B7.jpg","阿嘉莎系列"
"第三個女郎","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","288","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=ZaVQ5fJV6S%4006-%E7%AC%AC%E4%B8%89%E5%80%8B%E5%A5%B3%E9%83%8E.jpg","阿嘉莎系列"
"魔手","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","204","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=59B2meWcav%4005-%E9%AD%94%E6%89%8B.jpg","阿嘉莎系列"
"鏡子魔術","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","225","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=055JRVb9Qr%4004-%E9%8F%A1%E5%AD%90%E9%AD%94%E8%A1%93.jpg","阿嘉莎系列"
"東方快車謀殺案--遺失中","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=a1dGsrET0t%4003-%E6%9D%B1%E6%96%B9%E5%BF%AB%E8%BB%8A%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"加勒比海島謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","226","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=E3FaX5z4Ph%4002-%E5%8A%A0%E5%8B%92%E6%AF%94%E6%B5%B7%E5%B3%B6%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","阿嘉莎系列"
"A・B・C謀殺案","","阿嘉莎‧克莉絲蒂 (Agatha Christie)","Christie), 阿嘉莎‧克莉絲蒂 (Agatha","遠景出版社","","1988","","268","","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=mhG9aUz07m%4001-ABC%E8%AC%80%E6%AE%BA%E6%A1%88.JPG","阿嘉莎系列"
"壞胚子","","Maj Sjowall, Per Wahloo","Maj Sjowall, Per Wahloo","遠流","","2005","","272","9789573255239","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Qdd5EqK25C%409789573255239-%E5%A3%9E%E8%83%9A%E5%AD%90.jpg",""
"薩伏大飯店","","Maj Sjowall, Per Wahloo","Sjöwall, Maj","遠流出版事業股份有限公司","","2005","","352","9789573255222","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=238bX0zJ2o%409789573255222-%E8%96%A9%E4%BC%8F%E5%A4%A7%E9%A3%AF%E5%BA%97.jpg",""
"暹羅連體人的秘密","The Siamese twin mystery","Ellery Queen","Queen, Ellery","臉譜","","1995","","322","9789577083340","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=TVioZ88Pux%409789577083340-%E6%9A%B9%E7%BE%85%E9%80%A3%E9%AB%94%E4%BA%BA%E7%9A%84%E7%A5%95%E5%AF%86.png",""
"福爾摩斯探案全集4-4","","Arthur Conan Doyle","Doyle, Arthur Conan","遠流","","1999","","367","9789573237747","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=nmg5WtLU1Z%409789573237747-%E7%A6%8F%E7%88%BE%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%E5%85%A8%E9%9B%864-4.png",""
"福爾摩斯探案全集3-4","","Arthur Conan Doyle","Doyle, Arthur Conan","遠流","","1999","","367","9789573237730","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=akEq12sysc%409789573237730-%E7%A6%8F%E7%88%BE%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%E5%85%A8%E9%9B%863-4.png",""
"福爾摩斯探案全集2-4","","Arthur Conan Doyle","Doyle, Arthur Conan","遠流","","1999","","367","9789573237723","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=0vsL2li1Ep%409789573237723-%E7%A6%8F%E7%88%BE%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%E5%85%A8%E9%9B%862-4.png",""
"福爾摩斯探案全集1-4","","Arthur Conan Doyle","Doyle, Arthur Conan","遠流","","1999","","367","9789573237716","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=4zUoSUI5bP%409789573237716-%E7%A6%8F%E7%88%BE%E6%91%A9%E6%96%AF%E6%8E%A2%E6%A1%88%E5%85%A8%E9%9B%861-4.png",""
