"Title","Subtitle","Author","Author (Last","Publisher","Date Published","Year Published","Summary","Number of Pages","ISBN","EAN","書封","分類"
"疾病新解","","科學人編輯部","","遠流","2018/10/01","2018","","160","","4-719025-007784","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=qEAwWlGI1E%404719025007784-%E7%96%BE%E7%97%85%E6%96%B0%E8%A7%A3.png","科學人博學誌"
"懸而未決的物理難題","","科學人編輯部","","遠流","2017/07/24","2017","","160","","4-719025-007104","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=w3Cva0gYX1%404719025007104-%E6%87%B8%E8%80%8C%E6%9C%AA%E6%B1%BA%E7%9A%84%E7%89%A9%E7%90%86%E9%9B%A3%E9%A1%8C.png","科學人博學誌"
"窺探心理","","科學人編輯部","","遠流","2018/08/01","2018","","160","","4-719025-007777","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=6FouhGwu3l%404719025007777-%E7%AA%BA%E6%8E%A2%E5%BF%83%E7%90%86.png","科學人博學誌"
"鍍金人","The Gilded Man","卡特‧狄克遜","Carter Dickson","遠流","2000/01/01","2000","","","9789573242451","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=aqp1O77z2x%409789573242451-%E9%8D%8D%E9%87%91%E4%BA%BA.jpg","謀殺專門店"
"裁判有誤","Trial and Error","安東尼．柏克萊","Anthony Berkeley","遠流","2000/12/01","2000","","479","9789573241898","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=n1KCLw3Er1%409789573241898-%E8%A3%81%E5%88%A4%E6%9C%89%E8%AA%A4.jpg","謀殺專門店"
"骸骨與沉默","Bones and Silence","雷金納．希爾","Reginald Hill","遠流","2000/10/01","2000","","576","9789573241638","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=pYOUpY3njA%409789573241638-%E9%AA%B8%E9%AA%A8%E8%88%87%E6%B2%89%E9%BB%98.jpg","謀殺專門店"
"我嫁了一個死人","I Married a Dead Man","康乃爾．伍立奇","Cornell Woolrich","遠流","2000/10/01","2000","","319","9789573241911","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=3t3th121L0%409789573241911-%E6%88%91%E5%AB%81%E4%BA%86%E4%B8%80%E5%80%8B%E6%AD%BB%E4%BA%BA.jpg","謀殺專門店"
"黑衣新娘","The Bride Wore Black","康乃爾．伍立奇","Cornell Woolrich","遠流","2000/08/01","2000","","288","9789573241454","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Iv78GmeAR1%409789573241454-%E9%BB%91%E8%A1%A3%E6%96%B0%E5%A8%98.jpg","謀殺專門店"
"玫瑰山莊","At the Villa Rose","A. E. W. 梅森","A. E. W. Mason","遠流","2000/01/01","2000","","","9789573241348","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=4V0S185E54%409789573241348-%E7%8E%AB%E7%91%B0%E5%B1%B1%E8%8E%8A.jpg","謀殺專門店"
"史岱爾莊謀殺案","The Mysterious Affair at Styles","阿嘉莎．克莉絲蒂","Agatha Christie","遠流","2000/07/01","2000","","287","9789573241089","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=4jVh75gs50%409789573241089-%E5%8F%B2%E5%B2%B1%E7%88%BE%E8%8E%8A%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","謀殺專門店"
"昆恩的靜默世界","The Silent World of Nicholas Quinn","柯林．德克斯特","Colin Dexter","遠流","1998/07/01","1998","","351","9789573235200","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Yq7BVJ8t4b%409789573235200-%E6%98%86%E6%81%A9%E7%9A%84%E9%9D%9C%E9%BB%98%E4%B8%96%E7%95%8C.jpg","謀殺專門店"
"校長宿舍謀殺案","Death at the President's Lodging","麥可．伊尼士","Michael Innes","遠流","2002/09/01","2002","","303","9789573245834","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=LB630VaF7O%409789573245834-%E6%A0%A1%E9%95%B7%E5%AE%BF%E8%88%8D%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","謀殺專門店"
"閘邊足印","The Footsteps at the Lock","羅納德．諾克斯","Ronald A. Knox","遠流","2002/03/01","2002","","255","9789573245650","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=8935LV751q%409789573245650-%E9%96%98%E9%82%8A%E8%B6%B3%E5%8D%B0.jpg","謀殺專門店"
"眼中的獵物","A Beast In View","瑪格麗特．米勒","Margaret Millar","遠流","2001/01/01","2001","","255","9789573245131","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=LBQ0shQQ07%409789573245131-%E7%9C%BC%E4%B8%AD%E7%9A%84%E7%8D%B5%E7%89%A9.jpg","謀殺專門店"
"銼刀","The Rasp","菲利普．麥唐諾","Philip MacDonald","遠流","2001/12/01","2001","","351","9789573245223","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Q2MpuCwo9O%409789573245223-%E9%8A%BC%E5%88%80.jpg","謀殺專門店"
"巴西來的男孩","The Boys from Brazil","艾拉．雷文","Ira Levin","遠流","2001/10/01","2001","","399","9789573244516","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=hLUcGNOV0E%409789573244516-%E5%B7%B4%E8%A5%BF%E4%BE%86%E7%9A%84%E7%94%B7%E5%AD%A9.jpg","謀殺專門店"
"宋戴克醫師名案集","The Famous cases of Dr. Thorndyke","理查．奧斯汀．傅里曼","Richard Austin Freeman","遠流","2001/01/01","2001","","319","9789573244707","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=5256882w43%409789573244707-%E5%AE%8B%E6%88%B4%E5%85%8B%E9%86%AB%E5%B8%AB%E5%90%8D%E6%A1%88%E9%9B%86.jpg","謀殺專門店"
